caseId,strategy,comment,aiResponse,finalResponse,decision,relevance,accuracy,tone,brandRules,satisfaction,rating,reason
hours-fr,llm,Quels sont vos horaires d'ouverture ?,"Bonjour Merci pour votre retour. Nous transmettons votre remarque à l'équipe concernée. À très vite,",,,,,,,,,
hours-fr,rag,Quels sont vos horaires d'ouverture ?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
hours-fr,rag_feedback,Quels sont vos horaires d'ouverture ?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
hours-en,llm,What are your opening hours?,"Bonjour Merci pour votre message, désolés pour la gêne occasionnée. Nous vous communiquons l'information demandée en message privé. À très vite,",,,,,,,,,
hours-en,rag,What are your opening hours?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
hours-en,rag_feedback,What are your opening hours?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
hours-ar,llm,ما هي ساعات العمل في المتجر؟,"Bonjour Merci pour votre message. Nous vous communiquons l'information demandée en message privé. À très vite,",,,,,,,,,
hours-ar,rag,ما هي ساعات العمل في المتجر؟,المعلومات غير كافية. يجب مراجعة الرد بشرياً قبل الإجابة.,,,,,,,,,
hours-ar,rag_feedback,ما هي ساعات العمل في المتجر؟,المعلومات غير كافية. يجب مراجعة الرد بشرياً قبل الإجابة.,,,,,,,,,
sunday,llm,Est-ce que la boutique est ouverte le dimanche ?,"Bonjour Merci pour votre message. Nous vous communiquons l'information demandée en message privé. À très vite,",,,,,,,,,
sunday,rag,Est-ce que la boutique est ouverte le dimanche ?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
sunday,rag_feedback,Est-ce que la boutique est ouverte le dimanche ?,Quels sont les horaires de la boutique ? Notre boutique est ouverte du lundi au vendredi de 9h à 18h. Elle est fermée le dimanche.,,,,,,,,,
countries,llm,Livrez-vous en Belgique ?,"Bonjour Merci pour votre message. Nous vous communiquons l'information demandée en message privé. À très vite,",,,,,,,,,
countries,rag,Livrez-vous en Belgique ?,Dans quels pays livrons-nous ? Nous livrons uniquement en France métropolitaine. Le suivi du colis est communiqué par courriel lors de son expédition.,,,,,,,,,
countries,rag_feedback,Livrez-vous en Belgique ?,Dans quels pays livrons-nous ? Nous livrons uniquement en France métropolitaine. Le suivi du colis est communiqué par courriel lors de son expédition.,,,,,,,,,
tracking,llm,Où puis-je trouver le suivi de mon colis ?,"Bonjour Nous sommes sincèrement désolés pour ce désagrément. Nous prenons votre dossier en charge et revenons vers vous avec le statut exact. À très vite,",,,,,,,,,
tracking,rag,Où puis-je trouver le suivi de mon colis ?,Dans quels pays livrons-nous ? Nous livrons uniquement en France métropolitaine. Le suivi du colis est communiqué par courriel lors de son expédition.,,,,,,,,,
